Number of People,Denman,Hornby,CV,BC,Canada
1 Person,240,285,9370,600705,4396015
2 Persons,315,260,13380,719865,5124800
3 Persons,70,55,4210,296200,2194825
4 Persons,40,45,3315,256700,2002455
5 or more Persons,25,15,1660,168355,1260850
