Ages,Denman,Hornby,CV,BC,Canada
Ages 0-14,.0906, .0898,.1371,.1434,.1625
Ages 15-44,.4056,.2535,.2422,.4200,.4222
Ages 45-64, .1543, .2235, .3364, .2334, .2254
Ages 65+,.3486,.4367,.2843,.2032,.1898
