Ages,Denman,Hornby,CV,BC,Canada
Ages 0-14,.0906, .0898,.1371,.1434,.1625
Ages 15-64,.5109,.4735,.5786,.6534,.6476
Ages 65+,.3986,.4367,.2843,.2032,.1898
