Num_People,Denman,Hornby,CV,BC,Canada
1 person,0.3467,0.4341,0.2934,0.2942,0.2935
2 persons,0.4553,0.3956,0.4189,0.3526,0.3421
3 persons,0.1029,0.082,0.1318,0.145,0.1465
4 persons,0.0582,0.0664,0.1038,0.1257,0.1337
5 or more persons,0.0369,0.0219,0.0521,0.0825,0.0842
