Categories,Denman,Hornby,CV,BC,Canada
1 person,0.3453,0.4351,0.2934,0.2942,0.2935
2 persons,0.4532,0.3969,0.4189,0.3526,0.3421
3 persons,0.1007,0.084,0.1318,0.1451,0.1465
4 persons,0.0576,0.0687,0.1038,0.1257,0.1337
5 or more persons,0.036,0.0229,0.052,0.0825,0.0842
