Categories,Denman,Hornby,CV,BC,Canada
"No certificate, diploma or degree",35,50,3680,273665,2365395
High (secondary) school diploma or equivalency certificate,145,150,9645,627320,4074505
Postsecondary certificate or diploma below bachelor level,175,180,10730,598620,4628815
Bachelor's degree or higher,260,155,7875,652420,4405955
