Categories,Denman,Hornby,CV,BC,Canada
2 persons,340,250,13755,763875.,5306105.
3 persons,60,45,3840,290335.,2147825.
4 persons,30,40,2995,255295.,1953035.
5 or more persons,15,5,1065,89900.,855960.
