Categories,Denman,Hornby,CV,BC,Canada
"No certificate, diploma or degree",70,80,4150,292000,2534175
High (secondary) school diploma or equivalency certificate,140,155,9180,610685,4022790
Postsecondary certificate or diploma below bachelor level,170,75,10055,598425,4623985
Bachelor's degree or higher,210,150,5885,547285,3680285
